	Unnamed: 0_x	person_id	arrest_id_x	charge_degree	offense_category	arrest_date_event	Unnamed: 0_y	arrest_id_y	age_at_arrest	sex	race	arrest_date_univ	y	current_charge_felony	num_fel_arrests_last_year
3867	4532	343162	9919340	misdemeanor	other	2013-12-09	422	4129776	28.81917808219178	M	Black	2018-03-24	0	0	0
5220	3395	1075503	9918761	misdemeanor	property	2013-12-10	212	6623957	61.09041095890411	M	Black	2016-09-19	0	0	0
5938	5793	1609935	9913935	misdemeanor	other	2013-12-11	406	7395386	41.40547945205479			2016-03-02	0	0	0
2067	3427	67939	9913398	misdemeanor	property	2013-12-11	707	5475688	60.42191780821918	M	Black	2017-07-21	0	0	0
4584	4694	915957	9901905	misdemeanor	drug	2013-12-13	70	7206185	48.07671232876712	M	mixed	2016-04-21	0	0	0
2613	897	81423	9901839	misdemeanor	violent	2013-12-13	972	7063563	51.45205479452055	M	Black	2016-05-12	0	0	0
683	3571	25060	9904022	misdemeanor	other	2013-12-13	718	4796664	25.947945205479453	F	Black	2017-11-19	0	0	0
186	1356	8778	9900139	felony	drug	2013-12-14	827	7307141	34.32876712328767	M	Black	2016-03-26	1	1	0
779	4199	26596	9900564	misdemeanor	property	2013-12-14	137	7370720	46.40547945205479	M	mixed	2016-03-09	0	0	0
5935	5790	1609935	9897546	misdemeanor	other	2013-12-16	406	7395386	41.40547945205479			2016-03-02	0	0	0
5738	3227	1435646	9897646	misdemeanor	property	2013-12-16	847	4155587	32.99452054794521	F	White	2018-03-20	0	0	0
1448	4742	49472	9895151	misdemeanor	other	2013-12-16	119	7563566	32.298630136986304	M	Black	2016-01-14	0	0	0
5937	5792	1609935	9897548	misdemeanor	other	2013-12-16	406	7395386	41.40547945205479			2016-03-02	0	0	0
5300	4743	1117726	9895077	felony	property	2013-12-16	519	7288288	50.95616438356164	M	Black	2016-03-31	0	1	1
5936	5791	1609935	9897547	misdemeanor	property	2013-12-16	406	7395386	41.40547945205479			2016-03-02	0	0	0
4147	2504	542158	9888558	misdemeanor	property	2013-12-17	216	6837789	31.87945205479452	M	mixed	2016-07-16	0	0	0
1992	409	65964	9877461	felony	violent	2013-12-19	229	6725060	24.34794520547945	M	Black	2016-08-20	1	1	0
1776	4942	57529	9874542	misdemeanor	other	2013-12-20	153	7224958	25.56438356164384	M	Black	2016-04-17	0	0	0
2106	3426	69058	9870773	misdemeanor	violent	2013-12-22	402	7255033	49.24931506849315	F	mixed	2016-04-10	0	0	1
4528	729	911263	9864672	felony	violent	2013-12-23	380	7281409	25.528767123287672	M	Black	2016-04-01	0	1	1
4197	3674	598785	9863224	misdemeanor	property	2013-12-24	330	3477152	25.506849315068493	M	Black	2018-07-07	0	0	0
5567	2751	1300240	9862959	misdemeanor	drug	2013-12-24	879	7200598	26.747945205479454	M	Black	2016-04-23	0	0	0
1087	3825	33253	9863287	felony	property	2013-12-24	649	4284534	24.306849315068494	M	Black	2018-02-25	0	1	1
2680	896	82604	9862061	misdemeanor	drug	2013-12-25	129	2576292	34.865753424657534	M	Black	2018-12-07	1	0	1
3705	3976	323098	9860467	misdemeanor	property	2013-12-26	127	5801992	31.42465753424657	M	Black	2017-05-07	0	0	0
1665	728	56410	9859130	felony	violent	2013-12-26	741	4937826	33.4027397260274	M	Black	2017-10-27	0	1	1
4975	3394	1055115	9850674	misdemeanor	property	2013-12-29	226	7371681	57.56164383561644	M	White	2016-03-09	0	0	0
1070	6380	32779	9850345	misdemeanor	drug	2013-12-29	261	6049457	27.38082191780822	M	Black	2017-03-03	0	0	0
3324	3673	198393	9850524	misdemeanor	violent	2013-12-29	765	5083273	27.68219178082192	M	Black	2017-10-02	0	0	0
3998	4629	442499	9849829	misdemeanor	other	2013-12-29	7	5053285	29.23835616438356	M	White	2017-10-06	0	0	0
3200	6384	115414	9841943	misdemeanor	other	2014-01-01	557	2907915	26.78356164383561	M		2018-10-05	0	0	0
4004	1297	451627	9841521	misdemeanor	other	2014-01-01	293	6724161	44.64109589041096	M	Black	2016-08-21	1	0	0
3194	4204	115414	9841944	misdemeanor	drug	2014-01-01	557	2907915	26.78356164383561	M		2018-10-05	0	0	0
4696	904	960846	9835807	misdemeanor	violent	2014-01-02	764	5919982	26.92328767123288	F	Black	2017-04-06	0	0	0
1996	3577	65964	9834887	misdemeanor	property	2014-01-03	229	6725060	24.34794520547945	M	Black	2016-08-20	1	0	1
2472	133	78786	9833720	misdemeanor	property	2014-01-03	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
4691	1126	960754	9833962	misdemeanor	violent	2014-01-03	862	7408280	23.98630136986301	M	Black	2016-02-27	1	0	0
4680	1763	953314	9833135	misdemeanor	drug	2014-01-04	800	5373998	23.87123287671233	M	White	2017-08-10	0	0	0
3045	3834	92826	9829024	misdemeanor	property	2014-01-06	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
4373	3260	847994	9830028	misdemeanor	violent	2014-01-06	156	7311479	25.2986301369863	M	Black	2016-03-25	1	0	0
5218	3382	1075503	9824244	misdemeanor	property	2014-01-07	212	6623957	61.09041095890411	M	Black	2016-09-19	0	0	0
1322	2419	46047	9822640	felony	property	2014-01-07	334	7023735	31.136986301369863	M	White	2016-05-23	1	1	0
827	4202	26679	9808618	misdemeanor	property	2014-01-12	224	6916481	31.117808219178084	M	Black	2016-06-25	1	0	0
5944	5810	1609935	9803656	misdemeanor	other	2014-01-14	406	7395386	41.40547945205479			2016-03-02	0	0	0
184	740	8778	9800601	felony	drug	2014-01-14	827	7307141	34.32876712328767	M	Black	2016-03-26	0	1	1
5945	5811	1609935	9803657	misdemeanor	other	2014-01-14	406	7395386	41.40547945205479			2016-03-02	0	0	0
1713	739	56946	9796768	felony	drug	2014-01-15	786	5140950	38.2027397260274	M	Black	2017-09-21	0	1	3
4148	2508	542158	9793385	misdemeanor	property	2014-01-16	216	6837789	31.87945205479452	M	mixed	2016-07-16	0	0	0
3226	336	126282	9788181	felony	violent	2014-01-17	3	3573863	36.465753424657535	M	Black	2018-06-20	1	1	1
2892	3684	91690	9791126	misdemeanor	property	2014-01-17	952	5883395	25.66575342465753	M	Black	2017-04-17	0	0	0
478	623	15353	9786572	felony	property	2014-01-18	560	3039691	34.391780821917806	F	White	2018-09-11	0	1	2
1781	1364	57732	9786667	felony	drug	2014-01-18	101	5844042	26.22739726027397	M	Black	2017-04-26	1	1	2
2707	1121	83127	9786775	misdemeanor	property	2014-01-18	890	6186016	21.172602739726027	M	Black	2017-01-28	0	0	0
6404	2888	3191484	9784378	felony	property	2014-01-20	796	4985620	26.04109589041096	M	White	2017-10-19	0	1	0
4585	4698	915957	9773605	misdemeanor	drug	2014-01-24	70	7206185	48.07671232876712	M	mixed	2016-04-21	0	0	0
1484	1549	50827	9771814	misdemeanor	drug	2014-01-25	716	5665899	21.778082191780825	M	Black	2017-06-08	0	0	1
2742	901	83874	9771730	misdemeanor	property	2014-01-25	757	4159297	24.51506849315069	F	Black	2018-03-19	0	0	0
1505	1548	51323	9770641	misdemeanor	property	2014-01-26	811	4837325	32.26027397260274	M	White	2017-11-13	0	0	0
1331	5397	46047	9770769	felony	other	2014-01-26	334	7023735	31.136986301369863	M	White	2016-05-23	1	1	1
5668	2156	1309509	9767924	misdemeanor	property	2014-01-27	754	2495644	31.46849315068493	M	White	2018-12-24	0	0	1
4656	4962	940651	9763606	misdemeanor	other	2014-01-28	601	3015248	40.293150684931504	F	mixed	2018-09-15	0	0	0
1582	1117	53703	9753438	misdemeanor	violent	2014-01-31	581	6648850	21.15068493150685	M	Black	2016-09-11	0	0	0
4504	1118	910635	9753779	misdemeanor	drug	2014-01-31	841	4973877	61.01643835616439	M	Black	2017-10-22	0	0	1
5065	239	1063563	11932632	misdemeanor	property	2014-02-01	385	4827776	30.816438356164383	M	White	2017-11-13	0	0	0
2166	2163	69593	9751104	misdemeanor	drug	2014-02-02	988	6166510	35.4	F	mixed	2017-02-03	0	0	0
5356	5244	1127005	9745010	misdemeanor	other	2014-02-04	234	3052452	52.342465753424655	M	White	2018-09-08	0	0	0
3741	335	336042	9743628	misdemeanor	property	2014-02-04	610	5170311	55.30684931506849	M	White	2017-09-15	0	0	0
1172	6273	35652	9742226	felony	violent	2014-02-05	58	5268378	39.21369863013699	F	White	2017-08-31	0	1	0
3234	457	126282	9730202	felony	violent	2014-02-07	3	3573863	36.465753424657535	M	Black	2018-06-20	0	1	2
1837	1116	60273	9730704	felony	violent	2014-02-07	360	7509640	21.56438356164384	F	Black	2016-02-02	1	1	0
798	6383	26596	9732027	misdemeanor	other	2014-02-07	137	7370720	46.40547945205479	M	mixed	2016-03-09	0	0	0
3193	3576	115414	9729689	misdemeanor	other	2014-02-08	557	2907915	26.78356164383561	M		2018-10-05	0	0	0
2682	900	82604	9729039	misdemeanor	drug	2014-02-08	129	2576292	34.865753424657534	M	Black	2018-12-07	1	0	1
4065	6225	525326	9725966	felony	other	2014-02-10	77	7213308	61.583561643835615	M	White	2016-04-19	0	1	0
1564	5025	51576	9720195	misdemeanor	other	2014-02-11	159	3138306	52.04657534246575	M	Black	2018-08-23	1	0	0
1784	4746	57732	9720189	felony	drug	2014-02-11	101	5844042	26.22739726027397	M	Black	2017-04-26	0	1	3
3146	4200	101916	9718685	misdemeanor	property	2014-02-12	504	7278705	25.991780821917807	M	Black	2016-04-03	0	0	0
4755	1742	982966	9717407	misdemeanor	violent	2014-02-12	915	6970994	28.26027397260274	M	Black	2016-06-08	0	0	0
4547	1115	911946	9715992	misdemeanor	violent	2014-02-13	727	6339294	31.46027397260274	M	Black	2016-12-13	0	0	0
797	6382	26596	9715188	misdemeanor	other	2014-02-14	137	7370720	46.40547945205479	M	mixed	2016-03-09	0	0	0
4380	5874	847994	9715807	misdemeanor	drug	2014-02-14	156	7311479	25.2986301369863	M	Black	2016-03-25	1	0	0
1994	456	65964	9706603	misdemeanor	other	2014-02-18	229	6725060	24.34794520547945	M	Black	2016-08-20	1	0	1
1993	455	65964	9706604	felony	violent	2014-02-18	229	6725060	24.34794520547945	M	Black	2016-08-20	1	1	1
4515	4860	910635	9707317	misdemeanor	other	2014-02-18	841	4973877	61.01643835616439	M	Black	2017-10-22	0	0	1
2748	2966	84027	9705972	misdemeanor	drug	2014-02-19	607	2680535	39.26849315068493	M	Black	2018-11-18	0	0	0
2603	1547	81249	9703885	felony	drug	2014-02-19	529	3377366	50.26849315068493	M	Black	2018-07-24	0	1	0
168	737	8089	9699722	misdemeanor	other	2014-02-20	586	4652942	22.35890410958904	M	Black	2017-12-12	0	0	0
616	2448	22194	9701004	misdemeanor	drug	2014-02-20	820	4884956	37.95616438356164	F	White	2017-11-02	0	0	1
688	2486	25110	9697060	felony	property	2014-02-21	449	3787339	22.95616438356164	M	Black	2018-05-10	0	1	0
4683	4859	953314	9694411	misdemeanor	drug	2014-02-22	800	5373998	23.87123287671233	M	White	2017-08-10	0	0	0
3440	4111	231083	9693673	felony	drug	2014-02-23	982	5806918	29.01095890410959	M	Black	2017-05-05	0	1	0
4514	4858	910635	9689389	misdemeanor	other	2014-02-24	841	4973877	61.01643835616439	M	Black	2017-10-22	0	0	1
1990	334	65964	9677832	misdemeanor	drug	2014-02-27	229	6725060	24.34794520547945	M	Black	2016-08-20	1	0	2
1483	1546	50827	9674362	misdemeanor	drug	2014-02-28	716	5665899	21.778082191780825	M	Black	2017-06-08	0	0	1
4682	4857	953314	9672807	misdemeanor	drug	2014-03-01	800	5373998	23.87123287671233	M	White	2017-08-10	0	0	0
4678	1361	953314	9672808	misdemeanor	drug	2014-03-01	800	5373998	23.87123287671233	M	White	2017-08-10	0	0	0
187	1360	8778	9671752	misdemeanor	property	2014-03-02	827	7307141	34.32876712328767	M	Black	2016-03-26	0	0	2
1844	1113	60332	9668580	felony	violent	2014-03-04	693	4552038	25.438356164383563	M	Black	2018-01-05	1	1	0
1246	5292	42402	9669748	misdemeanor	other	2014-03-04	476	6701778	32.106849315068494	M	White	2016-08-27	0	0	0
964	2505	27924	9669614	misdemeanor	property	2014-03-04	302	6822812	20.48219178082192	M	White	2016-07-21	1	0	0
4513	4856	910635	9668983	misdemeanor	other	2014-03-04	841	4973877	61.01643835616439	M	Black	2017-10-22	0	0	1
3625	3830	316053	9667599	felony	violent	2014-03-05	353	5560634	41.33698630136986	F	White	2017-07-03	0	1	0
2283	4453	74595	9666451	misdemeanor	other	2014-03-05	148	2568623	38.24109589041096	M	Black	2018-12-10	0	0	0
1583	1465	53703	9665259	misdemeanor	violent	2014-03-05	581	6648850	21.15068493150685	M	Black	2016-09-11	0	0	0
890	6101	27382	9667837	misdemeanor	other	2014-03-05	75	7381538	26.56438356164384	M	Black	2016-03-07	0	0	0
1315	2336	46047	9662198	misdemeanor	property	2014-03-06	334	7023735	31.136986301369863	M	White	2016-05-23	1	0	2
3168	3829	106675	9664170	felony	drug	2014-03-06	292	6671035	23.64109589041096	M	Black	2016-09-05	1	1	0
3066	6100	92826	9658779	misdemeanor	other	2014-03-07	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
3044	3828	92826	9655744	misdemeanor	other	2014-03-08	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
3248	4298	131507	9655567	misdemeanor	property	2014-03-08	919	6995889	31.076712328767123	M	mixed	2016-06-01	0	0	0
1061	4110	32779	9652732	misdemeanor	drug	2014-03-10	261	6049457	27.38082191780822	M	Black	2017-03-03	1	0	0
6039	2069	1790946	9651834	felony	drug	2014-03-10	961	7197240	51.27945205479452	M	White	2016-04-25	1	1	0
2702	735	83127	9650175	misdemeanor	property	2014-03-10	890	6186016	21.172602739726027	M	Black	2017-01-28	0	0	0
4007	1952	451627	9650515	felony	property	2014-03-10	293	6724161	44.64109589041096	M	Black	2016-08-21	0	1	0
2471	132	78786	9645810	misdemeanor	drug	2014-03-11	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
2470	131	78786	9645811	misdemeanor	property	2014-03-11	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
1914	620	63935	9646149	misdemeanor	property	2014-03-11	341	7021379	29.64109589041096	F	White	2016-05-24	0	0	0
5869	1304	1543625	9646612	misdemeanor	violent	2014-03-11	441	4283852	56.85753424657534	M	Black	2018-02-25	0	0	0
1414	1545	48211	9643010	felony	property	2014-03-12	843	3250281	34.2	M	White	2018-07-30	1	1	0
4718	1464	961194	9643239	misdemeanor	property	2014-03-12	945	3394043	55.55068493150685	M	Black	2018-07-20	0	0	0
6161	1544	2335717	9639677	misdemeanor	drug	2014-03-13	933	5855566	39.85479452054795	M	Black	2017-04-21	0	0	0
5946	2194	1610763	9636386	misdemeanor	violent	2014-03-14	840	5330582	36.07945205479452	M	Black	2017-08-19	0	0	0
1065	4297	32779	9633151	misdemeanor	other	2014-03-16	261	6049457	27.38082191780822	M	Black	2017-03-03	1	0	0
533	5162	17881	9629384	misdemeanor	other	2014-03-17	753	4771776	31.526027397260275	M	Black	2017-11-21	0	0	0
1823	1139	59002	9621211	misdemeanor	drug	2014-03-19	902	4481139	39.21095890410959	M	Black	2018-01-19	1	0	0
4562	1141	912961	9621018	felony	violent	2014-03-19	704	6525048	33.78356164383562	M	Black	2016-10-18	0	1	0
3069	6109	92826	9623275	misdemeanor	other	2014-03-19	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
3068	6108	92826	9623274	misdemeanor	other	2014-03-19	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
1836	753	60273	9617642	felony	violent	2014-03-20	360	7509640	21.56438356164384	F	Black	2016-02-02	0	1	1
1995	460	65964	9613156	felony	drug	2014-03-21	229	6725060	24.34794520547945	M	Black	2016-08-20	0	1	2
2488	4476	78786	9612928	misdemeanor	other	2014-03-21	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
1900	5812	63048	9616367	misdemeanor	drug	2014-03-21	631	6194431	26.27671232876712	F	White	2017-01-26	0	0	0
6484	4211	3462861	9615503	misdemeanor	drug	2014-03-21	92	6676950	71.27123287671233	M	Black	2016-09-02	0	0	0
5444	1959	1171048	9612064	felony	violent	2014-03-22	683	3774134	32.556164383561644	F	Black	2018-05-13	0	1	0
5240	3110	1111687	9612866	misdemeanor	other	2014-03-22	950	5936371	33.51780821917808	M	White	2017-04-03	0	0	0
115	1372	4981	9611958	misdemeanor	other	2014-03-22	925	6982985	37.38082191780822	M	White	2016-06-05	0	0	0
5752	189	1439871	9611734	felony	property	2014-03-22	835	7030740	30.698630136986303	M	White	2016-05-20	1	1	1
4692	1140	960754	9610906	felony	property	2014-03-23	862	7408280	23.98630136986301	M	Black	2016-02-27	0	1	0
1628	2258	55857	9607855	misdemeanor	property	2014-03-24	434	6102845	27.07945205479452	F	White	2017-02-17	1	0	0
1226	3045	41991	9610258	misdemeanor	violent	2014-03-24	563	6778366	24.93972602739726	M	White	2016-08-05	1	0	0
2581	1559	80524	9599872	felony	property	2014-03-26	828	6978316	38.4	M	Black	2016-06-06	1	1	0
2383	5552	75570	9600906	misdemeanor	drug	2014-03-26	677	4741552	26.2027397260274	M	White	2017-11-28	0	0	0
5658	2198	1309468	9597284	misdemeanor	property	2014-03-27	287	7307171	35.24931506849315	F	White	2016-03-26	1	0	0
6514	3842	3664742	9599248	felony	drug	2014-03-27	648	7478500	21.77260273972603	M	Black	2016-02-10	0	1	0
3997	4378	442499	9596401	misdemeanor	other	2014-03-27	7	5053285	29.23835616438356	M	White	2017-10-06	0	0	0
1885	5675	62440	9592009	felony	other	2014-03-29	702	3472322	54.43835616438356	M	White	2018-07-09	0	1	0
3288	3841	173473	9592452	misdemeanor	property	2014-03-29	404	7552078	50.16712328767123	M	Black	2016-01-16	0	0	0
3973	338	404843	9591595	misdemeanor	property	2014-03-29	322	3550258	32.032876712328765	M	mixed	2018-06-23	0	0	0
5970	3004	1643235	9592619	misdemeanor	property	2014-03-29	949	6097506	24.534246575342465	M	White	2017-02-18	0	0	0
263	1475	10071	9588155	misdemeanor	other	2014-03-31	967	5792197	21.95890410958904	M	Black	2017-05-09	0	0	0
1843	749	60332	9587969	felony	violent	2014-03-31	693	4552038	25.438356164383563	M	Black	2018-01-05	0	1	1
2044	4007	66936	9585502	felony	drug	2014-04-01	926	4531245	46.2958904109589	M	Black	2018-01-10	0	1	0
3274	3689	162419	9586774	misdemeanor	drug	2014-04-01	329	7017218	33.38082191780822	M	Black	2016-05-25	1	0	0
4522	4873	910635	9583457	misdemeanor	other	2014-04-01	841	4973877	61.01643835616439	M	Black	2017-10-22	0	0	0
3279	6107	162419	9586773	misdemeanor	other	2014-04-01	329	7017218	33.38082191780822	M	Black	2016-05-25	1	0	0
6040	2132	1790946	9580721	felony	drug	2014-04-02	961	7197240	51.27945205479452	M	White	2016-04-25	0	1	1
1435	1557	49237	9579995	felony	violent	2014-04-02	96	6507127	20.09041095890411	M	Black	2016-10-22	1	1	0
4676	5249	951591	9572888	misdemeanor	other	2014-04-04	30	5053353	26.58356164383561	M	Black	2017-10-06	0	0	0
3750	541	336042	9571999	misdemeanor	property	2014-04-04	610	5170311	55.30684931506849	M	White	2017-09-15	0	0	0
2692	4702	82604	9566328	misdemeanor	drug	2014-04-07	129	2576292	34.865753424657534	M	Black	2018-12-07	1	0	1
1866	2913	60742	9568210	misdemeanor	property	2014-04-07	737	6015800	28.254794520547943	M	Black	2017-03-13	0	0	0
2487	4475	78786	9565475	misdemeanor	drug	2014-04-07	479	6645202	24.15068493150685	M	White	2016-09-12	0	0	0
5600	2836	1305217	9563730	misdemeanor	drug	2014-04-08	528	7537778	47.32876712328767	F	White	2016-01-21	0	0	0
2769	4752	84199	9559569	misdemeanor	drug	2014-04-09	553	7563283	22.12054794520548	M	Black	2016-01-14	0	0	2
1371	748	47273	9559645	misdemeanor	drug	2014-04-09	621	7465597	23.38082191780822	M	Black	2016-02-13	0	0	0
982	2568	28614	9560483	misdemeanor	property	2014-04-09	983	6045036	25.895890410958906	M	Black	2017-03-05	0	0	0
1429	747	49237	9556075	felony	violent	2014-04-10	96	6507127	20.09041095890411	M	Black	2016-10-22	0	1	1
4642	1556	935128	9555981	misdemeanor	violent	2014-04-10	375	6156149	48.56712328767123	F	Black	2017-02-06	0	0	0
2691	4701	82604	9555985	misdemeanor	drug	2014-04-10	129	2576292	34.865753424657534	M	Black	2018-12-07	1	0	1
2862	5816	89034	9555091	misdemeanor	other	2014-04-11	590	5573668	32.09041095890411	M	White	2017-06-30	0	0	0
5614	2640	1307676	9553536	misdemeanor	violent	2014-04-11	383	6704112	35.09315068493151	M	White	2016-08-26	0	0	0
1822	746	59002	9552595	felony	drug	2014-04-11	902	4481139	39.21095890410959	M	Black	2018-01-19	0	1	0
6126	625	2202943	9545427	misdemeanor	other	2014-04-14	525	4763108	48.704109589041096	F	White	2017-11-23	0	0	0
4156	5412	542158	9547232	misdemeanor	other	2014-04-14	216	6837789	31.87945205479452	M	mixed	2016-07-16	0	0	0
1468	4700	49882	9543393	misdemeanor	other	2014-04-15	230	3596356	35.18082191780822	M	Black	2018-06-14	0	0	0
2689	1955	82604	9543598	felony	drug	2014-04-15	129	2576292	34.865753424657534	M	Black	2018-12-07	1	1	1
3142	5030	101770	9539633	misdemeanor	drug	2014-04-16	354	5351996	26.92602739726028	F		2017-08-15	0	0	0
3138	1474	101770	9539634	misdemeanor	drug	2014-04-16	354	5351996	26.92602739726028	F		2017-08-15	0	0	0
2167	2165	69593	9537396	misdemeanor	drug	2014-04-17	988	6166510	35.4	F	mixed	2017-02-03	0	0	0
16	1369	2003	9536696	misdemeanor	property	2014-04-17	325	3551844	53.465753424657535	M	Black	2018-06-22	0	0	0
3891	272	349867	9525994	misdemeanor	drug	2014-04-21	676	6357251	23.82191780821918	F	White	2016-12-09	0	0	0
5052	101	1063563	11922242	misdemeanor	property	2014-04-23	385	4827776	30.816438356164383	M	White	2017-11-13	0	0	0
1620	1473	55112	9516600	misdemeanor	drug	2014-04-23	225	7200043	46.46849315068493	M	White	2016-04-23	0	0	0
2312	5527	74677	9517250	misdemeanor	other	2014-04-23	294	6355703	28.54520547945205	M	White	2016-12-09	0	0	0
2043	3965	66936	9517416	misdemeanor	drug	2014-04-23	926	4531245	46.2958904109589	M	Black	2018-01-10	0	0	1
617	2450	22194	9514156	misdemeanor	drug	2014-04-24	820	4884956	37.95616438356164	F	White	2017-11-02	0	0	1
150	2304	6614	9507855	misdemeanor	other	2014-04-26	107	5913001	25.3972602739726	M	White	2017-04-09	0	0	0
2501	3579	78880	9508153	felony	property	2014-04-26	315	6671790	52.02465753424657	M	Black	2016-09-04	0	1	0
414	188	14780	9502200	felony	property	2014-04-28	175	11966928	22.197260273972603	M	White	2016-04-12	1	1	0
1634	2269	55857	9500677	misdemeanor	property	2014-04-29	434	6102845	27.07945205479452	F	White	2017-02-17	1	0	0
3047	3839	92826	9501669	misdemeanor	property	2014-04-29	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
4704	745	961194	9500124	misdemeanor	property	2014-04-29	945	3394043	55.55068493150685	M	Black	2018-07-20	0	0	0
2291	5550	74595	9494845	misdemeanor	other	2014-05-01	148	2568623	38.24109589041096	M	Black	2018-12-10	0	0	0
849	4208	27249	9492158	misdemeanor	drug	2014-05-02	960	6478529	22.87945205479452	M	Black	2016-11-01	0	0	0
1313	1472	45613	9488877	misdemeanor	violent	2014-05-03	692	3245978	36.17808219178082	F	Black	2018-07-31	0	0	0
40	5029	2326	9487518	misdemeanor	property	2014-05-04	807	7591648	31.378082191780823	M	Black	2016-01-06	1	0	0
3612	2566	311707	9487821	misdemeanor	violent	2014-05-04	641	6106630	35.1945205479452	M	Black	2017-02-16	0	0	0
3046	3837	92826	9488255	misdemeanor	property	2014-05-04	746	6037598	40.84657534246576	M	Black	2017-03-07	0	0	0
3624	3688	316053	9486506	misdemeanor	violent	2014-05-05	353	5560634	41.33698630136986	F	White	2017-07-03	1	0	1
520	1367	17881	9480355	misdemeanor	property	2014-05-06	753	4771776	31.526027397260275	M	Black	2017-11-21	0	0	0
2850	3090	87608	9482736	misdemeanor	other	2014-05-06	87	5710263	45.41643835616439	M	Black	2017-05-28	0	0	0
262	1471	10071	9480472	misdemeanor	drug	2014-05-06	967	5792197	21.95890410958904	M	Black	2017-05-09	0	0	0
32	1127	2326	9480353	felony	other	2014-05-06	807	7591648	31.378082191780823	M	Black	2016-01-06	1	1	0
974	2487	28329	9481166	misdemeanor	other	2014-05-06	634	6400651	48.74794520547945	F	Black	2016-11-21	0	0	0
4155	5411	542158	9481134	misdemeanor	other	2014-05-06	216	6837789	31.87945205479452	M	mixed	2016-07-16	0	0	0
4374	3261	847994	9476270	felony	drug	2014-05-08	156	7311479	25.2986301369863	M	Black	2016-03-25	0	1	0
1056	337	32779	9473895	misdemeanor	violent	2014-05-08	261	6049457	27.38082191780822	M	Black	2017-03-03	1	0	0
3423	3109	230959	9476216	misdemeanor	violent	2014-05-08	875	3128626	28.09041095890411	M	mixed	2018-08-25	0	0	0
5680	3003	1309509	9476144	misdemeanor	drug	2014-05-08	754	2495644	31.46849315068493	M	White	2018-12-24	0	0	1
3257	3687	145687	9475842	misdemeanor	property	2014-05-08	817	6183350	38.347945205479455	M	Asian	2017-01-30	0	0	0
4507	4749	910635	9474358	misdemeanor	drug	2014-05-08	841	4973877	61.01643835616439	M	Black	2017-10-22	0	0	0
1144	4205	35320	9469319	misdemeanor	property	2014-05-10	544	3607980	24.339726027397266	M	Black	2018-06-13	0	0	0
5441	1954	1162141	9467773	misdemeanor	other	2014-05-11	208	6068520	24.991780821917807	M	Black	2017-02-27	1	0	0
1633	2268	55857	9465226	misdemeanor	property	2014-05-12	434	6102845	27.07945205479452	F	White	2017-02-17	1	0	0
5667	2148	1309509	9465112	misdemeanor	property	2014-05-12	754	2495644	31.46849315068493	M	White	2018-12-24	0	0	1
81	2064	3909	9465089	misdemeanor	property	2014-05-12	935	6370773	47.17260273972602	M	White	2016-12-01	0	0	0
5756	4474	1439871	9463613	felony	other	2014-05-12	835	7030740	30.698630136986303	M	White	2016-05-20	0	1	2
4638	742	935128	9464316	misdemeanor	violent	2014-05-12	375	6156149	48.56712328767123	F	Black	2017-02-06	0	0	0
261	1470	10071	9458376	misdemeanor	drug	2014-05-14	967	5792197	21.95890410958904	M	Black	2017-05-09	0	0	0
771	5987	26258	9460214	misdemeanor	drug	2014-05-14	412	4367944	22.02739726027397	M	Black	2018-02-08	0	0	0
3748	537	336042	9454615	misdemeanor	property	2014-05-15	610	5170311	55.30684931506849	M	White	2017-09-15	0	0	0
3273	3686	162419	9451580	misdemeanor	drug	2014-05-17	329	7017218	33.38082191780822	M	Black	2016-05-25	1	0	0
1419	624	48528	9449507	felony	violent	2014-05-18	155	3851361	25.53972602739726	M	White	2018-04-29	0	1	0
4690	905	960754	9449629	misdemeanor	violent	2014-05-18	862	7408280	23.98630136986301	M	Black	2016-02-27	0	0	1
2690	4699	82604	9447096	misdemeanor	drug	2014-05-19	129	2576292	34.865753424657534	M	Black	2018-12-07	1	0	1
3276	3835	162419	9440643	felony	drug	2014-05-21	329	7017218	33.38082191780822	M	Black	2016-05-25	1	1	0
4489	1125	909864	9438492	felony	drug	2014-05-21	80	6892870	22.273972602739725	M	Black	2016-07-02	1	1	0
3905	2565	349867	9439051	misdemeanor	drug	2014-05-21	676	6357251	23.82191780821918	F	White	2016-12-09	0	0	0
1415	1552	48211	9434472	misdemeanor	other	2014-05-22	843	3250281	34.2	M	White	2018-07-30	1	0	1
1186	2063	38602	9435251	misdemeanor	violent	2014-05-22	853	6235576	43.96986301369863	M	Black	2017-01-14	0	0	0
1607	459	55112	9430574	misdemeanor	property	2014-05-23	225	7200043	46.46849315068493	M	White	2016-04-23	0	0	0
3804	536	339988	9430551	misdemeanor	property	2014-05-23	139	5998375	56.57534246575342	M		2017-03-17	0	0	0
